销售时间,药品类型,销售额
2014-01-01,中成药,433.15676044861215
2014-01-02,中成药,561.23040052944
2014-01-02,西药,605.3624493287289
2014-01-02,西药,138.25820038289066
2014-01-02,中成药,125.37916389864624
2014-01-02,中成药,869.1502171432833
2014-01-03,西药,444.0446030910688
2014-01-03,西药,40.5594512170364
2014-01-04,西药,441.9876823605756
2014-01-05,中成药,27.97638595100804
2014-01-05,西药,975.3633619752684
2014-01-06,西药,229.3774961350529
2014-01-06,西药,74.25762925252313
2014-01-07,西药,610.9583678407012
2014-01-08,西药,429.2888513780124
2014-01-08,中成药,902.1966484831964
2014-01-08,中成药,217.95239097751212
2014-01-10,中成药,387.7586439472626
2014-01-10,中成药,136.3899686324823
2014-01-10,中成药,822.4193371365227
2014-01-10,中成药,632.4577735697903
2014-01-10,西药,238.8289385897492
2014-01-11,中成药,625.5417922344433
2014-01-11,中成药,296.5110793973685
2014-01-11,西药,849.1352604734927
2014-01-12,中成药,242.6784992469524
2014-01-12,中成药,425.04457208238654
2014-01-12,西药,853.6920646557496
2014-01-12,中成药,276.1091252053078
2014-01-12,西药,356.15684665761535
2014-01-13,中成药,444.67990859452016
2014-01-13,中成药,297.7978073453383
2014-01-14,西药,672.7861948411277
2014-01-14,西药,816.8576992139201
2014-01-14,中成药,818.7987659701274
2014-01-16,中成药,347.99813010117384
2014-01-16,中成药,831.837513253887
2014-01-17,中成药,314.01158895250774
2014-01-17,西药,51.58570974462378
2014-01-17,中成药,230.30448467389687
2014-01-19,西药,321.025738664044
2014-01-19,西药,308.52857315597674
2014-01-19,西药,660.896655167592
2014-01-19,中成药,463.82969347427576
2014-01-19,中成药,67.92207993494205
2014-01-19,中成药,860.4869175058392
2014-01-19,西药,533.9629855412426
2014-01-19,西药,895.4459551615058
2014-01-19,西药,731.5458056510804
2014-01-19,西药,157.59887104142942
2014-01-19,中成药,439.38979201955607
2014-01-20,中成药,564.4039493366291
2014-01-21,西药,112.26747303514708
2014-01-21,西药,62.29639803929534
2014-01-22,西药,672.8035907851876
2014-01-22,西药,529.9501782284891
2014-01-22,西药,244.7765925041372
2014-01-22,中成药,588.6252323281669
2014-01-22,西药,183.85937898785477
2014-01-22,中成药,377.4810567820392
2014-01-23,西药,212.22487770118465
2014-01-23,西药,629.2418687455371
2014-01-25,西药,505.74772199357614
2014-01-25,西药,979.6562554816956
2014-01-25,西药,721.2222149213763
2014-01-25,中成药,880.9109025800127
2014-01-25,西药,200.9648062445636
2014-01-25,中成药,348.95794834909645
2014-01-26,西药,349.83448550168004
2014-01-26,中成药,268.6218590081016
2014-01-27,西药,632.9267823677275
2014-01-28,西药,349.50576467833827
2014-01-28,中成药,555.3081621961983
2014-01-28,中成药,866.0125227509927
2014-01-29,西药,349.17278350593824
2014-01-29,西药,26.37405479697784
