销售时间,药品类型,销售额
2022-09-10,西药,703.1863767011125
2023-08-09,中成药,552.2625103744455
2016-05-10,西药,613.4728485594794
2017-07-18,西药,100.15552026135917
2017-02-04,中成药,479.18056330208003
2016-12-31,中成药,201.76328985784497
2022-06-20,中成药,216.29984221873713
2018-06-27,西药,664.6909226639981
2019-12-10,西药,912.1435903159452
2015-04-12,中成药,409.71904437356307
2017-05-23,西药,215.67178028206848
2014-11-27,西药,652.2594678642877
2018-01-22,西药,872.4751758868146
2019-11-06,中成药,750.835613111266
2023-06-07,西药,870.0696582312213
2022-09-07,中成药,541.1891243006913
2021-12-29,中成药,754.357481925499
2014-05-11,西药,148.6639137653471
2018-08-13,中成药,354.7918692095596
2023-04-04,西药,395.6536728367072
2016-02-09,中成药,516.1827887835742
2020-07-19,中成药,929.7855966542555
2018-02-24,西药,875.5535946199525
2023-07-18,中成药,143.1802373662927
2021-10-24,中成药,181.06175536363858
2020-08-30,中成药,364.0641440930222
2017-04-30,西药,297.8364272317672
2016-08-13,西药,618.6232436246996
2020-05-13,中成药,903.7482872868994
2017-03-30,中成药,962.6686262558609
2015-04-05,中成药,657.0669230098742
2023-04-09,西药,839.7776093870758
2014-01-22,西药,529.9501782284891
2020-04-19,中成药,216.24367739143932
2016-01-18,西药,529.4415279725426
2021-12-14,西药,559.5317754232746
2023-12-12,西药,745.032988571421
2015-04-20,西药,227.68415981027562
2016-12-18,中成药,374.6272782658644
2021-01-02,西药,370.38719452242066
2019-08-10,西药,959.8451997837533
2023-09-18,中成药,449.5055107234517
2021-07-10,中成药,757.543027625165
2016-09-02,西药,753.3032675606946
2018-12-12,西药,272.88874295520895
2014-07-09,中成药,576.1509924780148
2022-03-25,中成药,895.3598643854616
2021-06-27,中成药,480.44574226237995
2022-03-25,西药,945.6663322691206
2015-07-17,西药,222.31364703091998
2019-03-15,中成药,83.41751471629043
2023-12-18,西药,892.5393344133018
2017-06-21,中成药,849.2043859825944
2021-11-19,西药,992.6639771745063
2018-03-09,中成药,682.5995532313018
2022-10-08,中成药,937.321047400478
2023-09-27,西药,828.6795348332697
2015-10-09,西药,845.982069788886
2019-08-31,西药,573.4501547497256
2021-11-28,西药,388.54095193754375
2020-01-24,西药,935.212491817849
2017-07-21,西药,437.79600385973555
2020-09-01,中成药,543.4311735771723
2015-08-24,西药,451.6531640539359
2020-06-21,中成药,569.1701308205951
2019-08-24,中成药,475.8000282024039
2014-08-30,西药,57.48788299368112
2019-08-04,中成药,883.2277041476217
2021-09-25,中成药,449.9498807266121
2023-05-11,西药,593.0542120222752
2021-02-25,西药,147.79592473040717
2022-01-24,西药,13.353969502812745
2017-09-25,中成药,252.83719270720653
2019-11-10,西药,707.5401718120168
2017-10-22,西药,108.20258481174982
2022-03-23,西药,909.7985659826031
2018-01-18,西药,222.87234366262274
2023-08-01,中成药,212.54767814885804
2020-12-31,西药,189.69288200528055
2016-02-15,中成药,23.841895841651098
2014-02-04,西药,774.0874137934522
2020-03-03,中成药,876.2841859328059
2022-08-19,中成药,618.0210755900368
2019-05-10,中成药,196.31798186306366
2018-05-05,西药,292.42521697147095
2023-06-22,中成药,481.16743039131364
2022-06-01,西药,954.8024921070678
2016-10-18,西药,254.87785809956537
2023-06-24,西药,734.3294448806892
2021-02-26,西药,445.0537410599911
2017-02-03,西药,304.86887487642156
2018-02-09,中成药,461.3567776518926
2015-12-04,西药,80.4946503658202
2020-09-15,中成药,800.7004972210589
2021-08-09,中成药,250.86890870313746
2018-04-29,中成药,728.1580019610408
2014-06-11,中成药,77.66488773371277
2014-07-21,中成药,955.5475706040291
2019-06-05,中成药,201.08483555164162
2016-09-22,中成药,883.9146554450097
2020-05-06,西药,811.3784775192801
2016-03-26,中成药,968.1813248406019
2023-02-25,西药,483.1117543362921
2015-04-01,中成药,730.123320907492
2023-09-04,中成药,377.0035504674062
2017-06-29,中成药,192.5245556394969
2016-10-13,中成药,448.64517360411435
2020-06-01,西药,174.09152523457033
2021-07-30,西药,982.2241765585201
2014-12-04,西药,105.2840262293092
2016-05-28,中成药,593.3196062180942
2016-12-12,中成药,630.1992167015153
2016-03-02,中成药,542.6987474453136
2020-03-14,西药,665.5640268547153
2016-02-03,中成药,125.01896726177203
2020-02-14,西药,559.4683389632381
2015-01-15,西药,294.3404454160879
2015-05-08,中成药,940.7743026680461
2022-07-10,中成药,764.4509369053285
2017-03-26,西药,972.7893373381453
2019-08-25,西药,47.18050904278765
2014-03-06,西药,292.2818434289016
2021-01-12,中成药,203.4683607719655
2017-09-29,中成药,21.043041438712194
2017-02-26,中成药,249.9024729438582
2019-07-21,中成药,681.9882236852246
2021-05-19,中成药,238.77803291322286
2018-02-04,中成药,513.9134110277921
2022-08-01,西药,888.9399338153487
2017-03-08,西药,696.8203411455845
2018-03-03,西药,400.68277920697165
2021-03-25,中成药,378.7442495229872
2015-01-27,西药,461.1784558683999
2018-08-26,中成药,185.27102664930732
2015-02-23,中成药,637.6607597418282
2020-05-25,西药,370.51129091355944
2015-01-14,中成药,853.8416957694233
2018-12-02,西药,758.9871334572381
2023-10-02,西药,614.4080324512385
2020-03-28,中成药,370.5602004230209
2022-05-24,西药,217.83251335674956
2019-09-20,西药,778.3903454645666
2022-06-27,西药,491.5450080011757
2019-12-23,西药,232.50253779558392
2014-07-20,中成药,203.22286888960616
2019-02-07,西药,173.74689545634544
2016-02-19,西药,779.389584243539
2022-02-25,西药,236.69731344730857
2022-07-02,中成药,531.3758408899455
2022-07-17,西药,457.0308973633259
2015-05-18,中成药,583.814790236001
2020-09-20,西药,878.3833513674823
2023-12-25,西药,869.0699161809133
2018-10-18,西药,456.56531110661103
2016-03-15,中成药,25.212588227376074
2019-11-17,中成药,432.1793676571601
2021-06-24,中成药,610.131602049899
2019-03-11,中成药,562.1871115070811
2021-08-05,中成药,654.8227447422034
2018-04-20,中成药,162.53497514835266
2016-08-18,西药,650.0697477929252
2021-04-14,中成药,190.8251025563345
2018-01-25,西药,753.0187408897815
2021-05-14,中成药,345.6967371300532
2016-10-25,中成药,712.796479047639
2023-01-03,中成药,57.386942917046014
2015-05-18,西药,413.78142533500426
2021-09-15,中成药,707.9841770406994
2015-02-02,中成药,234.60181116817918
2016-05-20,西药,797.3341743492504
2021-10-13,西药,634.4719357738826
2015-01-28,西药,591.6861544283004
2014-07-26,西药,360.0133656622938
2016-11-04,中成药,487.6269556773064
2019-02-25,西药,601.3758079680746
2023-12-05,中成药,477.73749277574154
2022-01-18,中成药,701.3301907011545
2018-01-24,西药,439.35996377589
2023-12-26,中成药,210.25044992461005
2016-05-13,西药,221.79444497303678
2021-08-22,中成药,15.745731154511681
2023-01-26,西药,307.94813840308575
2015-07-18,西药,751.4284640737344
2016-10-17,西药,796.2210817492335
2014-04-06,西药,210.44286667479253
2019-04-08,西药,959.4535569026937
2018-10-24,西药,507.37876554532545
2020-12-07,中成药,917.8089615283176
2023-07-11,中成药,709.6976290430148
2020-03-28,中成药,725.2090887921889
2021-08-28,西药,94.19318509301041
2018-08-06,中成药,227.79121562796138
2022-11-17,西药,18.72668496152791
2015-06-25,中成药,718.9663640719701
2016-11-25,中成药,350.9939055442249
2021-01-16,西药,788.7859909155833
2017-03-29,中成药,345.546857737656
2018-09-19,中成药,821.1404147758725
2023-01-28,中成药,139.39127121082987
2022-08-24,西药,181.63942518993312
2018-12-25,中成药,347.4677741880971
2021-03-10,西药,414.4025149934506
2021-06-22,中成药,355.2157827345486
2021-02-17,中成药,766.0105621979876
2018-05-17,中成药,105.98187870044755
2022-05-19,中成药,357.7048494421032
2021-05-17,西药,838.8675995203048
2016-03-06,中成药,76.12910648955027
2016-11-17,西药,942.9200725946439
2018-07-02,西药,986.4536738492927
2023-12-07,中成药,97.68249208682928
2017-09-25,中成药,298.3597970331796
2019-06-05,西药,378.6766593750026
2017-09-16,西药,778.6274549661988
2018-07-22,中成药,599.9675439955665
2018-03-10,中成药,647.9220434876416
2019-08-01,中成药,759.9347245903209
2023-05-13,中成药,126.79920944265547
2018-02-05,中成药,834.8773623411597
2023-01-16,西药,708.5636061383426
2020-02-16,中成药,581.5683079444066
2023-01-10,中成药,890.8379814352261
2017-11-09,西药,703.303290344969
2017-11-01,中成药,209.68296300471516
2017-07-30,中成药,435.44792726491005
2021-05-04,西药,499.10243826637594
2021-04-29,中成药,64.66545048290159
2016-08-30,西药,955.0911382264552
2018-11-04,中成药,137.29148818890968
2017-07-06,中成药,700.4866545544596
2023-05-24,中成药,511.16872572997136
2015-12-11,西药,35.375927385578365
2018-01-19,西药,925.5000011057181
2017-12-05,西药,853.3184407307439
2015-10-11,西药,529.0153486247972
2014-11-14,中成药,236.6529127780508
2023-01-10,西药,130.4066617732933
2017-06-11,西药,369.75855463780533
2015-11-15,西药,262.8739982356296
2015-10-26,中成药,511.62428899623575
2019-06-22,中成药,966.7452031621947
2023-06-08,西药,579.203958297345
2018-06-20,西药,891.0317453311969
2018-02-04,中成药,654.3700491208194
2023-01-18,西药,480.49406132132845
2017-02-10,西药,856.0614871060375
2019-01-28,西药,476.65442907126754
2018-03-01,西药,869.9418888052573
2020-10-25,中成药,298.66100188000763
2015-07-18,中成药,137.52494302535825
2017-07-15,中成药,856.761319719309
2023-10-22,西药,591.5410121547401
2023-06-20,西药,890.2014742664705
2023-06-21,中成药,938.4489349224593
2022-09-20,中成药,63.09210646773468
2018-06-25,中成药,505.95960884027966
2022-03-19,西药,381.21490358378395
2022-08-19,中成药,629.599813099416
2015-11-30,西药,795.6552852303003
2019-12-01,西药,287.78431381462525
2014-01-02,中成药,561.23040052944
2015-10-04,中成药,711.6412941058505
2020-03-17,西药,143.08677200737668
2018-05-09,中成药,815.9262368917542
2016-05-04,中成药,610.0485038544433
2018-10-26,西药,950.0420627425153
2023-01-10,西药,346.13362993938637
2020-08-29,西药,117.06448291382667
2023-07-07,西药,511.43618902655606
2018-07-20,西药,94.95266399234445
2017-02-27,中成药,969.8312580907667
2016-12-12,西药,48.29810867461962
2018-09-04,西药,755.968862096235
2021-08-09,西药,529.8513741608216
2018-08-23,中成药,374.9344459733058
2018-09-30,西药,75.18374286356811
2017-12-10,西药,625.9452549318717
2020-04-13,西药,589.3681260970457
2016-04-15,中成药,288.0744403369238
2023-08-12,西药,911.119484396209
2014-07-22,西药,311.0689072694085
2022-11-30,西药,455.22815648618507
2014-05-03,中成药,548.3248313594692
2015-02-05,中成药,109.22955939452324
2016-02-06,中成药,932.840102021496
2014-10-21,中成药,380.7907909265307
2020-05-16,西药,89.97142173560017
2022-01-10,西药,393.4182619385766
2014-07-17,中成药,604.2005216216548
2022-04-18,中成药,518.5161451031163
2019-04-15,西药,697.5965542969013
2023-10-23,西药,64.92910264723153
2021-08-31,中成药,291.69520416933557
2020-01-01,中成药,821.0382710717013
2015-09-01,中成药,89.09475091344724
2022-12-17,中成药,856.931095148998
2017-02-21,西药,100.97713115633519
2014-07-06,中成药,836.1096727427793
2023-04-21,中成药,367.18051706793943
2020-11-16,西药,616.0869726246436
2023-05-14,西药,161.35824449151818
2018-11-30,西药,75.50703450792903
2015-10-22,西药,223.77882197993372
2021-09-12,西药,136.57527972960858
2022-03-22,中成药,319.28183870283544
2019-05-10,中成药,519.23941404591
2020-09-16,中成药,592.8718689293594
2017-10-01,西药,791.9694263059455
2019-06-10,中成药,659.677494315875
2018-03-15,西药,612.6707418782574
2014-05-27,中成药,417.6642072109169
2022-10-25,中成药,479.07035061053733
2021-12-21,西药,420.3756210962793
2018-10-01,西药,843.7443697607692
2019-01-18,中成药,237.70044802291585
2015-05-04,中成药,15.663722226544978
2022-02-24,中成药,654.806698253977
2019-05-14,中成药,210.43756180244307
2018-07-22,中成药,891.2139849467112
2021-02-11,西药,860.4558664095895
2020-07-13,西药,85.96009820892382
2021-12-29,西药,115.32452135993657
2015-10-03,西药,500.2198763241996
2018-12-08,中成药,613.1304361416611
2020-11-25,中成药,282.15925410741835
2019-05-24,西药,719.6297395323769
2020-01-08,中成药,598.9668607096828
2017-12-09,西药,331.57586865106913
2023-03-24,中成药,35.11777316189244
2018-06-23,中成药,752.6487784855325
2014-09-20,中成药,222.6061291668319
2018-11-23,西药,836.1290060280021
2020-01-01,西药,426.0873574537126
2020-07-21,西药,581.3066682054477
2015-09-16,西药,874.2192431049119
2016-10-13,中成药,864.9867709107539
2023-12-23,中成药,377.8043794911375
2016-05-30,中成药,216.8000037876947
2019-08-12,中成药,777.3946169513088
2022-01-23,西药,438.74940156610984
2017-08-20,中成药,200.12157362341404
2020-04-20,中成药,905.3810888939787
2015-03-29,中成药,206.1231522986765
2022-07-06,西药,35.549096509318765
2017-03-29,西药,30.07717402974577
2022-05-21,西药,626.0922028897216
2019-08-19,中成药,665.058310110355
2023-01-18,西药,317.9312880064141
2022-09-06,中成药,326.81087935459277
2018-08-10,中成药,346.0989759093433
2021-11-03,中成药,683.3569612912898
2020-03-05,西药,67.5524531165603
2017-02-28,西药,929.8251891644123
2015-02-08,中成药,230.29583373567198
2020-01-09,中成药,999.6764731896714
2019-10-03,西药,179.80746684931512
2022-09-27,西药,773.8309927392537
2018-08-24,西药,231.17841948032878
2015-09-20,中成药,90.03833362682144
2015-08-10,中成药,876.1839911071423
2018-07-07,中成药,860.163746598983
2017-12-14,西药,409.53468852510537
2017-12-16,西药,705.3721811150225
2014-04-14,西药,561.495273357078
2014-09-11,中成药,854.4265525370113
2023-01-12,中成药,321.9054096254679
2022-09-19,西药,528.4356759989953
2021-01-01,中成药,490.51864749250495
2018-02-05,西药,360.36676799429017
2014-04-09,中成药,892.5405139108085
2020-01-10,西药,174.21914541591013
2019-02-28,中成药,158.01355312548918
2022-02-09,中成药,581.1404399695239
2019-04-04,西药,660.9192876850926
2016-05-27,西药,202.67306178131952
2014-12-04,西药,396.8102678320779
2021-11-09,西药,947.0982045489563
2022-11-09,西药,254.15124846376725
2016-08-14,中成药,671.6770950962201
2018-09-01,西药,742.7478997606149
2014-06-10,西药,453.64741247050796
2018-05-23,西药,938.1507268919871
2021-10-19,中成药,739.2901678666026
2015-02-02,西药,463.3453340622889
2017-07-24,西药,573.641849758333
2016-03-26,西药,695.6873089908497
2018-03-08,中成药,596.2682786249261
2019-04-04,中成药,879.9106079878151
2017-11-16,西药,363.3197756575972
2017-03-04,中成药,306.8868826552469
2017-05-03,西药,221.70050060031167
2015-02-05,中成药,47.405138383949186
2015-10-02,西药,52.58382473625478
2022-07-02,中成药,871.35464117819
2021-06-28,西药,681.6092149418482
2015-04-05,西药,663.9270912821213
2016-08-12,中成药,618.4963907455372
2015-04-15,西药,850.7269532471638
2023-06-09,西药,485.46425640897115
2016-11-11,西药,871.7067202727173
2021-08-29,西药,365.85057592041676
2018-08-21,中成药,927.4404292956997
2019-09-17,西药,701.6704102804277
2020-03-27,中成药,264.60536466418296
2023-05-30,中成药,568.4440724717389
2015-07-17,中成药,537.700255873373
2020-10-21,中成药,146.51983351303062
2018-12-05,西药,595.3304766931079
2023-03-09,西药,321.63776747978835
2019-09-06,中成药,61.82527914150641
2014-08-14,西药,949.1695961294993
2023-03-03,中成药,645.0754653736449
2016-03-08,西药,878.1497425521386
2020-05-20,西药,679.2954449631206
2022-01-05,西药,363.41385521871183
2016-08-17,中成药,517.5611916055233
2018-02-13,中成药,678.9892927437053
2015-03-29,西药,960.6498019494231
2022-05-26,中成药,261.1327645304795
2016-03-26,中成药,876.2272880378765
2015-10-21,西药,924.8370272413267
2023-10-28,中成药,673.7113595123669
2015-07-01,西药,931.9539611273244
2017-04-30,西药,403.8998016025948
2022-07-18,西药,953.4860142800384
2023-10-24,中成药,705.7550483943152
