日期,药品类型,销售额
2017-10-29,西药,3374.24
2015-07-20,西药,2983.5
2017-07-08,西药,4716.91
2017-08-04,西药,4639.77
2023-10-09,中成药,4467.42
2014-07-26,中成药,4802.43
2017-06-21,西药,4336.58
2015-05-22,西药,1157.71
2017-01-26,中成药,3331.23
2020-11-10,中成药,1662.0
2022-12-17,中成药,2979.3
2022-11-15,中成药,3369.97
2015-11-08,西药,3901.03
2020-04-21,中成药,4005.12
2019-03-05,西药,4593.55
2020-05-21,西药,3837.56
2021-03-30,中成药,2127.3
2023-09-30,中成药,3770.29
2017-11-13,西药,4392.17
2019-02-25,西药,2151.78
2019-03-09,中成药,3307.43
2015-04-24,中成药,3075.67
2015-02-02,西药,4488.5
2017-02-21,中成药,1022.02
2017-04-19,中成药,4952.14
2022-05-08,中成药,1792.79
2014-02-20,西药,3545.64
2018-12-15,中成药,4183.71
2020-06-18,西药,1218.93
2014-01-30,西药,2301.32
2015-06-02,中成药,1307.81
2021-03-19,西药,2219.61
2019-07-09,西药,2082.58
2018-04-10,西药,1990.24
2019-11-03,西药,2768.13
2022-11-25,中成药,1804.7
2017-09-02,中成药,2070.37
2020-02-14,中成药,4628.17
2020-03-04,西药,4765.9
2022-09-05,西药,2145.12
2021-04-28,中成药,2799.77
2018-10-17,西药,4210.56
2015-07-30,中成药,3833.45
2018-07-26,中成药,4561.64
2020-10-11,中成药,2580.21
2014-05-26,中成药,1122.0
2023-02-12,中成药,1539.91
2020-04-30,中成药,1586.78
2021-02-01,西药,1346.83
2016-07-05,西药,3992.29
2017-11-13,中成药,2286.68
2018-09-05,中成药,2251.11
2015-05-17,中成药,4491.78
2023-04-27,西药,2705.27
2016-02-09,西药,3100.65
2023-04-22,中成药,4846.45
2019-08-21,西药,2626.36
2022-07-02,中成药,2609.04
2019-06-12,中成药,2498.89
2020-10-26,中成药,4909.14
2020-04-15,中成药,3017.82
2014-11-14,西药,2789.65
2020-10-30,西药,4078.99
2023-06-02,西药,2062.35
2023-05-24,西药,4636.02
2016-05-13,中成药,3037.69
2016-09-23,西药,1541.42
2017-11-11,中成药,4704.78
2021-10-28,中成药,3707.28
2014-06-07,中成药,4343.92
2022-03-06,西药,4400.53
2015-12-13,中成药,1166.29
2016-09-10,中成药,1737.91
2016-11-08,西药,2991.25
2022-12-30,西药,1023.46
2023-09-07,中成药,3492.69
2017-07-05,西药,1291.61
2022-01-24,西药,3344.94
2016-03-31,中成药,3159.83
2014-03-11,西药,4887.13
2017-06-26,西药,2950.51
2021-03-28,中成药,4934.85
2022-02-06,中成药,4938.3
2019-11-23,西药,1320.75
2019-04-13,中成药,2418.66
2017-10-10,中成药,2879.95
2014-08-05,中成药,3472.87
2022-02-04,西药,2675.69
2019-05-18,西药,3638.02
2022-02-05,西药,1336.85
2017-10-10,西药,4560.56
2014-10-16,中成药,1588.29
2020-04-26,中成药,1994.16
2015-10-24,中成药,4487.13
2022-12-21,中成药,3342.62
2015-02-23,中成药,4659.38
2019-07-07,中成药,2587.97
2023-03-12,西药,2660.43
2018-02-11,中成药,3286.98
2016-04-10,西药,3062.72
2022-03-19,西药,1597.53
2017-10-24,西药,1967.91
2015-04-25,西药,3952.13
2021-03-09,中成药,2827.55
2017-05-10,中成药,2080.99
2017-09-12,中成药,3085.18
2021-10-15,西药,3583.71
2019-09-09,中成药,2017.93
2020-04-17,西药,1928.9
2019-06-25,中成药,4040.64
2017-09-20,中成药,3585.83
2018-09-10,中成药,3253.58
2023-09-13,西药,1073.43
2018-11-09,中成药,1330.95
2021-05-29,中成药,3751.08
2016-12-14,西药,2391.77
2017-01-24,中成药,1315.88
2022-04-16,中成药,4392.81
2016-08-31,中成药,2760.8
2021-09-27,西药,2409.92
2017-09-18,中成药,2392.38
2014-12-14,西药,3442.48
2023-09-29,中成药,4217.5
2020-04-14,西药,1827.27
2018-06-27,西药,2940.38
2015-11-05,中成药,2383.74
2018-02-05,西药,2586.21
2018-11-05,西药,1250.26
2018-03-17,中成药,2251.63
2016-08-05,西药,3932.29
2014-01-10,西药,2164.92
2023-12-08,中成药,1202.03
2021-06-18,中成药,2158.91
2016-12-12,中成药,3848.06
2023-09-04,西药,2990.26
2014-06-11,中成药,3640.79
2022-06-18,西药,1840.47
2021-09-07,中成药,4285.04
2016-12-11,中成药,2340.83
2018-11-30,西药,1785.68
2017-04-09,中成药,3822.34
2016-09-14,中成药,2194.9
2022-05-20,西药,4997.84
2015-05-19,西药,4396.78
2017-11-29,西药,1155.72
2021-12-13,西药,4925.53
2019-04-18,中成药,2652.69
2014-02-13,西药,3550.23
2019-04-26,中成药,4832.47
2014-01-06,中成药,1082.34
2014-03-26,西药,3363.57
2014-07-30,西药,4158.47
2023-12-05,中成药,4413.58
2022-02-24,中成药,4160.33
2019-08-25,西药,3705.44
2016-04-21,中成药,3563.89
2018-05-31,中成药,1334.22
2020-06-14,中成药,2026.59
2023-01-02,西药,2082.73
2022-06-14,西药,4345.76
2014-03-14,西药,1147.55
2020-04-10,西药,4063.43
2021-04-27,西药,2030.53
2019-12-14,西药,3218.75
2023-05-12,中成药,2466.55
2018-01-15,中成药,4310.03
2017-08-16,西药,3001.6
2014-02-07,西药,3916.03
2020-01-09,中成药,1679.55
2018-10-15,西药,4544.37
2016-10-31,西药,2320.86
2015-01-30,中成药,2848.02
2016-05-08,西药,3780.14
2022-04-17,西药,2961.25
2018-07-05,中成药,2557.62
2019-09-20,中成药,3330.86
2018-11-15,西药,2838.34
2020-08-31,中成药,3385.87
2023-03-06,西药,2211.07
2023-11-14,中成药,2532.66
2017-01-28,西药,4325.49
2015-01-04,中成药,2569.78
2015-11-15,西药,4636.13
2016-11-18,中成药,4173.05
2016-10-23,中成药,1663.1
2021-07-31,西药,4508.51
2023-03-17,中成药,3384.26
2020-06-30,中成药,1930.91
2014-07-21,西药,4305.83
2020-06-20,中成药,1878.54
2017-01-04,西药,2521.6
2014-02-21,西药,3034.28
2023-03-23,中成药,4775.1
2016-08-22,西药,1259.41
2021-10-05,中成药,1224.86
2017-12-18,西药,4503.53
2015-10-14,中成药,1207.89
2018-01-19,中成药,2096.29
2020-06-24,西药,4715.23
2020-01-10,西药,3074.25
2022-04-15,中成药,3142.76
2015-11-07,中成药,4468.13
2014-11-22,中成药,1347.68
2019-11-28,西药,1708.61
2014-05-06,中成药,2177.8
2016-05-02,西药,1422.66
2018-03-04,西药,2386.1
2014-12-21,中成药,2018.56
2020-02-15,西药,2421.76
2015-04-10,中成药,3533.91
2020-08-15,中成药,2509.45
2014-08-14,中成药,4108.59
2014-12-07,西药,2031.61
2022-12-31,中成药,1314.04
2017-11-22,西药,4803.71
2014-03-03,西药,1440.21
2022-11-26,西药,1039.88
2018-12-21,中成药,4001.06
2018-03-10,西药,4805.69
2016-12-31,中成药,2041.15
2018-04-20,中成药,2484.45
2023-08-19,中成药,2782.92
2016-02-28,西药,3567.89
2018-12-30,西药,4998.23
2021-08-12,中成药,2363.85
2022-06-25,西药,1623.41
2023-03-21,中成药,4733.82
2021-06-30,中成药,1039.31
2021-08-20,中成药,3600.75
2016-11-12,中成药,1815.07
2019-06-23,中成药,3119.76
2018-08-29,西药,2306.56
2016-06-29,中成药,1822.75
2014-03-23,中成药,3534.12
2019-05-26,中成药,1336.51
2016-11-15,西药,2583.88
2023-09-22,西药,3453.61
2022-02-27,西药,4243.74
2023-12-24,西药,4369.86
2018-01-24,中成药,4788.36
2015-08-28,中成药,2094.51
2023-09-20,西药,4559.0
2018-08-24,西药,2301.16
2017-11-14,中成药,3915.45
2018-07-18,中成药,4217.98
2020-05-03,西药,3042.28
2017-09-17,中成药,4092.57
2018-11-02,中成药,2305.02
2017-09-21,中成药,4388.24
2020-07-14,西药,4275.48
2018-08-21,西药,3229.35
2014-05-06,西药,2540.39
2022-11-11,中成药,3590.08
2018-03-26,西药,4830.32
2017-02-07,中成药,3366.79
2019-07-30,中成药,3376.97
2023-02-24,西药,2237.47
2018-07-15,西药,1033.45
2023-04-06,西药,4623.03
2016-02-27,中成药,1866.96
2022-05-27,中成药,2641.99
2020-10-06,中成药,2367.4
2017-02-03,中成药,2267.79
2015-04-24,西药,1187.86
2020-02-09,西药,3078.45
2021-07-28,中成药,3181.71
2014-11-07,西药,1837.4
2017-01-21,中成药,4611.58
2016-08-26,中成药,2079.28
2014-09-25,中成药,4075.95
2021-05-12,西药,2368.28
2015-03-30,西药,2367.27
2023-04-06,中成药,4171.36
2023-11-18,中成药,3262.99
2022-07-13,中成药,3314.26
2014-10-13,西药,4134.61
2015-05-31,中成药,1148.03
2022-04-18,西药,4327.77
2016-06-28,西药,2527.76
2022-08-26,中成药,3590.88
2019-11-24,西药,3520.37
2019-12-29,中成药,2531.14
2015-10-09,西药,3757.86
2014-04-23,西药,1975.96
2020-04-22,西药,1731.25
2022-07-06,中成药,1613.65
2018-01-13,中成药,3055.42
2015-08-02,中成药,1634.42
2015-09-23,西药,4190.24
2021-10-12,中成药,4659.34
2019-08-21,中成药,4669.07
2019-05-21,西药,1890.7
2023-05-08,西药,2620.0
2019-01-27,中成药,4788.65
2017-12-05,西药,2412.2
2016-03-23,中成药,1701.21
2022-05-02,中成药,4038.08
2014-01-10,中成药,2727.78
2014-02-16,西药,3245.11
2023-03-11,西药,4294.98
2018-08-20,中成药,1134.71
2014-12-16,西药,2924.56
2018-09-15,中成药,1915.5
2014-01-01,西药,4802.86
2018-06-12,中成药,3000.45
2016-12-30,西药,3659.94
2021-07-01,西药,3773.51
2019-01-24,中成药,4732.82
2015-11-02,西药,2850.49
2022-08-27,西药,3038.04
2023-09-11,西药,4060.43
2019-05-28,中成药,3646.87
2021-11-03,中成药,1788.73
2020-08-23,中成药,4100.94
2021-03-04,中成药,1153.6
2016-08-03,中成药,1396.71
